fyrnr,page_number,problem
000700,30,Gap in sector numbering. Missing sector number 4
000700,30,Gap in sector numbering. Missing sector number 5
001910,31,No sector number for sector white (0.0 - 360.0)
001911,31,No sector number for sector green (0.0 - 360.0)
001912,31,No sector number for sector red (0.0 - 360.0)
001920,31,No sector number for sector white (0.0 - 360.0)
001921,31,No sector number for sector green (0.0 - 360.0)
001922,31,No sector number for sector red (0.0 - 360.0)
003600,33,Gap in sector numbering. Missing sector number 1
004900,34,Gap in sector numbering. Missing sector number 6
004900,34,Non sequential sector has a non-continuous angle. 34.2 != 48.4
005101,34,No sector number for sector green (0.0 - 360.0)
007800,36,Gap in sector numbering. Missing sector number 1
007900,36,Gap in sector numbering. Missing sector number 1
011500,42,Gap in sector numbering. Missing sector number 7
011500,42,Non sequential sector has a non-continuous angle. 155.8 != 204.8
011900,43,Gap in sector numbering. Missing sector number 5
011900,43,Non sequential sector has a non-continuous angle. 40.2 != 51.3
017100,46,Gap in sector numbering. Missing sector number 3
017100,46,Non sequential sector has a non-continuous angle. 12.3 != 32.8
017100,46,Non sequential sector has a non-continuous angle. 208.2 != 208.9
019222,48,No sector number for sector red (0.0 - 360.0)
019430,48,No sector number for sector white (0.0 - 360.0)
019437,49,No sector number for sector green (0.0 - 360.0)
0242AP,58,No sector number for sector red (0.0 - 360.0)
0242BP,59,No sector number for sector red (0.0 - 360.0)
0257P,60,No sector number for sector green (0.0 - 360.0)
026900,61,Gap in sector numbering. Missing sector number 6
026900,61,Non sequential sector has a non-continuous angle. 172.6 != 176.6
027010,61,Invalid sector number 0 for sector red (0.0 - 360.0)
027020,61,Invalid sector number 0 for sector green (0.0 - 360.0)
027130,61,Invalid sector number 0 for sector red (0.0 - 360.0)
027140,61,Invalid sector number 0 for sector green (0.0 - 360.0)
027272,61,No sector number for sector red (183.2 - 191.4)
027274,61,No sector number for sector red (183.2 - 191.4)
027561,61,No sector number for sector green (0.0 - 360.0)
027682,62,No sector number for sector red (330.3 - 337.9)
027684,62,No sector number for sector red (330.3 - 337.9)
027871,62,No sector number for sector green (0.0 - 360.0)
031001,64,No sector number for sector green (0.0 - 360.0)
031012,64,No sector number for sector red (0.0 - 360.0)
031014,64,No sector number for sector red (0.0 - 360.0)
035051,68,No sector number for sector green (0.0 - 360.0)
035071,68,No sector number for sector green (0.0 - 360.0)
036500,70,Gap in sector numbering. Missing sector number 10
036500,70,Non sequential sector has a non-continuous angle. 279.2 != 281.2
040601,73,Invalid sector number 0 for sector green (0.0 - 360.0)
042901,75,No sector number for sector green (0.0 - 360.0)
